,NOM_GEO,AMBITO,GRID_NUMBER,Lat,long,X_GSR80,Y_GSR80,SQUARE_POLYGON,geometry,CENTROID,GRID_VAL
2743,Iztapalapa,Urbana,GRID_2743,19.36124388390091,-99.13036319778293,821188.8584998957,2800617.890100001,"POLYGON ((820788.8584998957 2800217.890100001, 821588.8584998957 2800217.890100001, 821588.8584998957 2801017.890100001, 820788.8584998957 2801017.890100001, 820788.8584998957 2800217.890100001))","POLYGON ((-99.13425678460622 19.35769331864515, -99.13410420905358 19.36131634478145, -99.13036309622117 19.36124384092343, -99.13043958712096 19.3575483198461, -99.13425678460622 19.35769331864515))",POINT (-99.1322850716732518 19.3594439654267738),SI
2744,Iztapalapa,Urbana,GRID_2744,19.36117133405929,-99.12654590077182,821188.8584998957,2801017.890100001,"POLYGON ((820788.8584998957 2800617.890100001, 821588.8584998957 2800617.890100001, 821588.8584998957 2801417.890100001, 820788.8584998957 2801417.890100001, 820788.8584998957 2800617.890100001))","POLYGON ((-99.13043958508791 19.35762086745691, -99.13028680641149 19.36124389136544, -99.12654579921042 19.36117129107901, -99.12662239167145 19.35747567581293, -99.13043958508791 19.35762086745691))",POINT (-99.1284677909479655 19.3593714315247780),SI
2745,Iztapalapa,Urbana,GRID_2745,19.361098687792275,-99.12272860783254,821188.8584998957,2801417.890100001,"POLYGON ((820788.8584998957 2801017.890100001, 821588.8584998957 2801017.890100001, 821588.8584998957 2801817.890100001, 820788.8584998957 2801817.890100001, 820788.8584998957 2801017.890100001))","POLYGON ((-99.1266223896357 19.3575483198461, -99.12646940783613 19.36117134152391, -99.12272850627146 19.36109864480924, -99.1228052002934 19.35740293535752, -99.1266223896357 19.3575483198461))",POINT (-99.1246505142936485 19.3592988011972800),SI
2746,Iztapalapa,Urbana,GRID_2746,19.36102594510013,-99.11891131897046,821188.8584998957,2801817.890100001,"POLYGON ((820788.8584998957 2801417.890100001, 821588.8584998957 2801417.890100001, 821588.8584998957 2802217.890100001, 820788.8584998957 2802217.890100001, 820788.8584998957 2801417.890100001))","POLYGON ((-99.12280519825497 19.35747567581293, -99.12265201333291 19.36109869525702, -99.11891121740972 19.36102590211429, -99.11898801299225 19.35733009848007, -99.12280519825497 19.35747567581293))",POINT (-99.1208332417156868 19.3592260744444644),SI
2747,Iztapalapa,Urbana,GRID_2747,19.36095310598297,-99.115094034191,821188.8584998957,2802217.890100001,"POLYGON ((820788.8584998957 2801817.890100001, 821588.8584998957 2801817.890100001, 821588.8584998957 2802617.890100001, 820788.8584998957 2802617.890100001, 820788.8584998957 2801817.890100001))","POLYGON ((-99.1189880109511 19.35740293535752, -99.11883462290722 19.36102595256495, -99.11509393263057 19.36095306299433, -99.11517082977338 19.35725716518078, -99.1189880109511 19.35740293535752))",POINT (-99.1170159732194662 19.3591532512664983),SI
2748,Iztapalapa,Urbana,GRID_2748,19.36088017044101,-99.11127675349957,821188.8584998957,2802617.890100001,"POLYGON ((820788.8584998957 2802217.890100001, 821588.8584998957 2802217.890100001, 821588.8584998957 2803017.890100001, 820788.8584998957 2803017.890100001, 820788.8584998957 2802217.890100001))","POLYGON ((-99.11517082772954 19.35733009848007, -99.11501723656447 19.36095311344786, -99.11127665193946 19.36088012744955, -99.1113536506422 19.35718413545982, -99.11517082772954 19.35733009848007))",POINT (-99.1131987088104012 19.3590803316635522),SI
2749,Iztapalapa,Urbana,GRID_2749,19.36080713847438,-99.10745947690152,821188.8584998957,2803017.890100001,"POLYGON ((820788.8584998957 2802617.890100001, 821588.8584998957 2802617.890100001, 821588.8584998957 2803417.890100001, 820788.8584998957 2803417.890100001, 820788.8584998957 2802617.890100001))","POLYGON ((-99.11135364859564 19.35725716518078, -99.11119985431006 19.36088017790597, -99.10745937534175 19.36080709548015, -99.10753647560409 19.35711100931739, -99.11135364859564 19.35725716518078))",POINT (-99.1093814484939060 19.3590073156358393),SI
2750,Iztapalapa,Urbana,GRID_2750,19.36073401008332,-99.1036422044023,821188.8584998957,2803417.890100001,"POLYGON ((820788.8584998957 2803017.890100001, 821588.8584998957 2803017.890100001, 821588.8584998957 2803817.890100001, 820788.8584998957 2803817.890100001, 820788.8584998957 2803017.890100001))","POLYGON ((-99.10753647355486 19.35718413545982, -99.10738247614938 19.36080714593943, -99.10364210284287 19.36073396708627, -99.10371930466449 19.3570377867536, -99.10753647355486 19.35718413545982))",POINT (-99.1055641922753949 19.3589342031835088),SI
2751,Iztapalapa,Urbana,GRID_2751,19.36066078526794,-99.09982493600732,821188.8584998957,2803817.890100001,"POLYGON ((820788.8584998957 2803417.890100001, 821588.8584998957 2803417.890100001, 821588.8584998957 2804217.890100001, 820788.8584998957 2804217.890100001, 820788.8584998957 2803417.890100001))","POLYGON ((-99.10371930261255 19.35711100931739, -99.10356510208786 19.36073401754845, -99.09982483444819 19.36066074226812, -99.09990213782876 19.35696446776872, -99.10371930261255 19.35711100931739))",POINT (-99.1017469401602114 19.3588609943067773),SI
2752,Iztapalapa,Urbana,GRID_2752,19.36058746402848,-99.09600767172194,821188.8584998957,2804217.890100001,"POLYGON ((820788.8584998957 2803817.890100001, 821588.8584998957 2803817.890100001, 821588.8584998957 2804617.890100001, 820788.8584998957 2804617.890100001, 820788.8584998957 2803817.890100001))","POLYGON ((-99.09990213577413 19.3570377867536, -99.09974773213088 19.36066079273316, -99.09600757016314 19.36058742102585, -99.09608497510234 19.35689105236285, -99.09990213577413 19.3570377867536))",POINT (-99.0979296921537696 19.3587876890057657),SI
